id,question,answer,title
1283,"Участвую в конкурсе ""деньги и слава"". После описания прогноза начал заполнять данные и обнаружил, что Вильям Хилл на матч Анжи - Зенит даёт только П1, Х и П2. Могу ли я взять коэффициент из конторы 1xstavka ? Хочу написать прогноз ""Ф2 - 1""","Константин, здравствуйте. 
Нет, Вы должны использовать только коэффициенты WH.","Доброго времени суток! Какой коэффициент писать в прогнозе, если контора его ещё даёт?"
1284,"Добрый день! Скажите пожалуйста я вчера оставил вам жалобу на бк tennisi ее до сих пор не опубликовали, сколько по времени может это занять?","Здравствуйте, в течение часа опубликуем.",Публикация
1285,"Здравствуйте, сделал прогноз позавчера, ночью была игра, по правилам прошел, опубликовали всё хорошо, но, вчера с утра я уже знал о плюсовом исходе данного поединка, а он и сегодня всё ещё не расчитан. Интересно, каким образом проходят расчеты по прогнозам.)","Здравствуйте. 
Все прогнозы рассчитываются вручную мною и еще одним моим коллегой. Всё происходит в порядке очереди.  Задержки возможны по той простой причине, что мы не роботы и объемы довольно большие.",Расчет прогнозов.
1286,"Здравствуйте. Мой номер счета 3546594. На мои письма БК Зенит не отвечает, пишу им на почту (support@zenitbet.com). Прошу помощи от представителей этого сайта или может здесь есть кто из БК Зенит. Пожалуйста помогите разобраться. Пройду любые проверки!!! Пожалуйста откликнитесь кто может мне помочь!","Здравствуйте, Анна.
Хотелось бы Вас поддержать, но не знаю как. Дело в том, что в последние месяцы БК ""Зенит"" работает весьма странно. Очень много негативных отзывов о них. Некоторым данная контора выплачивает деньги, других пользователей ""маринует"" месяцами. 
Конечно, могу порекомендовать Вам написать жалобу на БК ""Зенит"". Вот <a href=""https://bookmakersrating.ru/help-homepage/forma-zhalob/"" target=""_blank"">ссылка на форму жалобы</a>. Однако я не совсем уверен в том, что это  поможет.
",Не могу перевести деньги на Webmoney с депозитный счета БК Zenit
1287,"Почему мне не рассчитали матч цска с краснодаром, я сделал прогноз что обе забьют,и его не рассчитывают?","Добрый день, Дмитрий. Наберитесь терпения. Ответ на Ваш вопрос прочтите <a href=""https://bookmaker-ratings.ru/questions/raschet-prognozov-3/"" target=""_blank"">тут</a>",Расчёт ставки
1288,"Отправил жалобу на БК ЛЕОН, но она не опубликовалась. Почему?","Не работал в воскресенье, сейчас взялся за публикацию жалоб, в течение часа будет готово.","Отправил жалобу на БК ЛЕОН, но она не опубликовалась. Почему?"
1289,"Хотя бы пояснили бы в чем дела, а не убрать сразу(","<p>Привет! Ваш прогноз удалил робот, который перед удалением не может пояснить в чем дело. А дело в том, что уникальность вашего прогноза была 38%, а минимальная планка требований - 60.</p>","Привет всем, я опубликовал прогноз, прогноза рассмотрели и убрали, вопрос почему?"
1290,"Здравствуйте, не допустили прогноз на главную страницу трибуны, хотелось бы узнать причину, заранее спасибо за ответ","<p>Привет! Чтобы прогноз попал на трибуну его нужно публиковать не менее, чем за два часа до начала события. Ваш прогноз булл опубликован менее, чем за час.</p>","Здравствуйте, хочу узнать почему мой прогноз не допустили на главную страницу трибуны?"
1291,"ya vyigral 40.000r oni sprosili dokumenty,ya im vse vislal,sprosili znayu li ya odnovo cheloveka,ya im skazal cho on moy znakomyi.oni mne skazali chto oni skazali chto ix specialisty podozrevayut chto eto moy znakomiy igral iz moego scheta,i vse stavki annulirovali,ya u nix sprosil telefon ili skype ili kakoy nibud drugoi sposob,chto by ya smog s nimi svyazatca,chto bi dokozat chto ya eto ya,no oni ne otvechayut.chto mne delat? chem vi mojete mne pomoch?","Здравствуйте! Вам нужно заполнить форму жалобы на БК. 
https://bookmaker-ratings.ru/help-homepage/forma-zhalob/",BK 1xbet ne otdaet moi vyigrannie dengi.mne skazali obratitca k vam.chem vi mojete mne pomoch?
1292,"Заблокировали Winline22, есть зеркало?","Доброе утро.
Нет сомнений, что оно есть. Поищите в сети, здесь я не могу опубликовать адрес. ",Как зайти на сайт?
1293,"Как зайти бк William Hill, никак не могу найти альтернативную ссылку.",<p>Я захожу на сайт Вильяма через анонимайзер ,Доступ к William Hill.
1294,ставка в профиле на отрицательную фору по броскам Шведов,"Антон, здравствуйте. 
Все рассчитаем в ближайшие часы. До хоккея просто еще не дошли. Очень много футбола на выходных было. ",Почему не рассчитывают мой проноз на полуфинальный матч Швеции с Европой
1295,"После отправки паспорта на фонбет, где заблокировали возврат денежных средств на карту прошло 5 дней, потом отправила паспорт на просвет на их запрос 23.09.2016, сколько ждать верификации. И вернут ли мой выигрыш на карту или имеют право отказать.","Здравствуйте. Если вы не нарушали правил БК, верификация не затянется. Если проверка документов продлится дольше 14 дней, заполните форму жалобы <a href=""https://bookmaker-ratings.ru/bookmakers-homepage/forma-zhalob/"" target=""_blank"">здесь</a>.",Получения выигрыша
1296,"Привожу диалог с консультантом 1xbet. ИннаКонсультант Инна: Здравствуйте! Чем могу Вам помочь? Вы: Добрый день! Сделал ставку Купон №996741785 экспресс. Одно из событий Футбол Кубок России СКА Хабаровск - Рубин (26.10.2016 | 12:00) Сейчас узнаю, что хозяин поля Рубин. Я хочу оформить возврат Инна: Минуту, пожалуйста. Инна: В соревнованиях, где употребляются понятия «хозяева» и «гости», в случае переноса события: на нейтральное поле, ставки сохраняют силу; на поле команды-соперника, ставки сохраняют силу. Вы: А здесь никто никуда не переносил игру. Изначально было определено, что хозяин Рубин, а у вас было указано наоборот. Инна: Данные, указываемые в линии и лайве, носят ориентировочный характер. Клиентам необходимо пользоваться другими независимыми источниками информации для уточнения данных по спортивному событию. Вы: Интересное дело! Вводите в заблуждение. Выходит я сделал ставку, доверяя вам, а у вас какие-то ориентировочные данные Инна: Все купоны рассчитываются согласно данных с официальных источников. Ваша ставка будет рассчитана согласно данных официальных источника. Ставка считается принятой после ее регистрации на сервере и выдачи онлайнового подтверждения. Зарегистрированные ставки отмене или исправлениям не подлежат.П.П. 3.6 Вы: Сделайте пожалуйста возврат. У вас неточная информация о событии. 7000 руб для меня немалые деньги Инна: Основания для возврата ставки нет. Вы: Если я потеряю эти деньги, то приложу максимум усилий, чтобы о моем случае узнали как можно больше людей. Ни в какие ворота не лезет!!! Инна: В соревнованиях, где употребляются понятия «хозяева» и «гости», в случае переноса события: на нейтральное поле, ставки сохраняют силу; на поле команды-соперника, ставки сохраняют силу. П.П, 8.17 Вы: Случая переноса тут не было Инна: Букмекерская компания не несёт ответственности за неточности в названии чемпионатов; продолжительности матчей (спортивных событий). Данные, указываемые в линии и лайве, носят ориентировочный характер. Клиентам необходимо пользоваться другими независимыми источниками информации для уточнения данных по спортивному событию. П,П. 8.3 Вы: В п.18 указано следующее: ""Команды NBA, NHL, AHL, CHL, OHL, WHL, Хоккейной лиги восточного побережья Северной Америки могут располагаться как в прямой последовательности (хозяева - гости), так и в обратной. В случае обратного расположения возврат по ставкам не производится."" Из этого следует, что последовательность хозяева-гости для других команд должна соблюдаться. Вы могли бы применить п.22 22.В спорных ситуациях, не имеющих прецедента, окончательное решение принимается букмекерской компанией. Инна: Оснований для возврата ставки нет. Ожидайте расчета Вашего купона. В соревнованиях, где употребляются понятия «хозяева» и «гости», в случае переноса события: на нейтральное поле, ставки сохраняют силу; на поле команды-соперника, ставки сохраняют силу. П.П, 8.17 Инна: Букмекерская компания не несёт ответственности за неточности в названии чемпионатов; продолжительности матчей (спортивных событий). Данные, указываемые в линии и лайве, носят ориентировочный характер. Клиентам необходимо пользоваться другими независимыми источниками информации для уточнения данных по спортивному событию. П,П. 8.3 Вы: Опять перенос. Проверьте, там переноса поля не было!!! Инна: Букмекерская компания не несёт ответственности за неточности в названии чемпионатов; продолжительности матчей (спортивных событий). Данные, указываемые в линии и лайве, носят ориентировочный характер. Клиентам необходимо пользоваться другими независимыми источниками информации для уточнения данных по спортивному событию. П,П. 8.3 Вы: Так можно любой косяк оправдать. Как случайный, так и умышленный. Доверием клиентов не дорожите! Инна: Клиентам необходимо пользоваться другими независимыми источниками информации для уточнения данных по спортивному событию.","<p>Здравствуйте, Сергей. Если у вас есть спорные вопросы при взаимодействии с БК, заполните <a href=""https://bookmaker-ratings.ru/bookmakers-homepage/forma-zhalob/"" target=""_blank"">форму жалобы</a> </p>",1xbet неправильно указал последовательность хозяева-гости и отказывается делать возврат. Я прав или нет?
1297,"уважаемая редакция РБ. прошу, поясните, почему мои прогнозы вы не принимаете? Извините, что отвлекаю вас.","<p>Привет! Не очень понимаю, почему об одном прогнозе вы говорите во множественном числе )), а тот единственный, который не попал на трибуну не имеет никаких аргументаций - просто ваши варианты точного счете без какого-то обоснования. Такие прогнозы на трибуну не попадают. Кроме того, там фотография совсем не верного формата, поэтому и по этой причине прогноз не попал бы на трибуну. Изучите правила оформления прогнозов. </p>",Насчет не допущения прогнозов на трибуну.
1298,"Можно-ли удалить свой профиль на сайте РБ? Если да, то как?","Мекан, доброе утро. 
Можно. Для этого отправьте запрос на support@bookmakersrating.ru
Важно! Отправляйте запрос с почты, которая привязана к аккаунту РБ. ",Хочу удалить свой профиль
1299,"Здравствуйте! не могу зайти на свой счет уже три месяца!(пароль дает менять, а вот зайти на свой счет нет). написал писем 20 им!!! прошу обьяснить в чем причина?- ответ один:"" мы работаем для Вас круглосуточно"". при том что я проиграл у них около 20 000 $!!! поставил всего больше 300 000$? вот такеое вот отношение к своим игрокам! денег на счету правда нету, но зато у меня там осталось 2 500 000 бонус-очков! ПОЧЕМУ НЕ МОГУ ЗАЙТИ НА СВОЙ СЧЕТ???","Добрый день, Ярослав!
Администрация компании предлагает вам в индивидуальном порядке создать новый игровой счет на сайте FavBet.com
После создания - напишите, пожалуйста, номер игрового счета и Ваши бонус-очки будут перенесены на новый аккаунт.",хоть тут ответьте!
1300,нужна ссылка на сайт ВильямХилл,<p>Я захожу на сайт Вильяма через анонимайзер /модер.ссылки на сторонние ресурсы недопустимы/ забивая в строке этот сайт /модер.ссылки на сторонние ресурсы недопустимы/</p>,"Добрый день подскажите пожалуйста хотел зарегистрироваться на БК WilliamHILL но не могу найти их сайт , может быть вы знаете как туда зайти."
1301,Здравствуйте! Хотел попросить чтобы разблокировали возможность Карену Неизвестному оставлять комментарии на сайте. К кому можно обратиться за помощью по данному вопросу?,Здравствуйте. Необходима заявка от самого пользователя. Отправить можно на почту support@bookmakersrating.ru,Нужна Помощь.
1302,"уже 11 прогнозов моих не публикуется, почему? все условия соблюденены.","<p>Добрый день, Мирфат! <br /><br />""Не публикуются"" - это не совсем верное определение. Прогнозы Ваши размещены здесь https://bookmaker-ratings.ru/tip-category/tip-user-tips/, они участвуют в конкурсе. Другое дело, что на Трибуну они не попадают, но отбор туда несколько строже. К сожалению, грамматические ошибки в Ваших текстах не позволяют нам пропускать их туда. Я понимаю, что русский язык может быть для Вас не первым родным, но правила для всех одни.  <br /><br /></p>",почему мой прогнозы не допускается модернатором? все по условии делаю и все условия соблюденены.
1303,"Добрый день, разъясните пожалуйста один вопрос, для подтверждения аккаунта на букмекерской конторе прислали вот что: proof of address utility bill or bank statement dated within the last 3 months. Где мне взять тот или иной документ? Я живу в своей квартире, но она оформлена не на меня, как быть в такой ситуации?","Процедура абсолютно стандартная, но многое зависит от конкретной конторы. Они просят вас выписку с вашего счёта в банке, можно также прислать счёт за коммунальные услуги, есть ещё варианты, но эти два самые распространённые.
Надо идти в свой банк или же ЖЭК и просить ""выписку"", только не все конторы устраивают российские ""выписки"", не внушают доверия им, что, однако, справедливо с их стороны — слишком у нас ""простенькие"" формы этих ""выписок"", даже в банках. А они хотят, чтобы соответствовало международным стандартам.

Если контора придирчивая — просите в банке, в ЖЭКе бесполезно (проверено много раз, они просто не умеют делать подобного). Крайне не советую ""рисовать"", не самому, и не верить предлагающим такую услугу, гарантирующим идеальное, якобы, качество. Попадёте под ""вечный бан"", возможно не только в этой конторе, а подделки достаточно легко выявляются.",Подтверждение документов.
1304,"Уважаемые модераторы, удалите, пожалуйста, один из двух моих прогнозов на матч ""ЦСКА"" - ""Тоттенхэм"". Случайно получилось. Заранее благодарю;)","Привет, Антон! Один прогноз удалили. ",Просьба
1305,"При регистрации в ""Лиге ставок"", прошел регистрацию на 1cupis. ru. При вводе ""цупис"" в присковой системе помимо 1cupis, одним из первых идет tsupis.ru.","Добрый день, Александр. 
Сервис 1cupis работает с  российскими БК, которые на данный момент имеют статус легальных. Что касается других ""ЦУПИСов"", полноценно работать они начнут позднее.",В чем разница между 1cupis и tsupis?
1306,"Очень важно ваше субъективное мнение. Так как не хочется столкнуться с ситуацией, когда счет с весьма крупным банком блокируют, при том что я не собираюсь пользоваться арбитражными ситуациями. А в свете последних событий, проблем с выводом крупных сумм денег, во многих БК становится все больше. Какую букмекерскую контору порекомендуете вы для столь солидного банка, и как избежать проблем с выводом? Заранее благодарю.","Извините, что может быть вмешиваюсь. Но выскажу свое, далеко не любительское мнение. Все зависит от того, какие виды спорта собираетесь играть. А так же доматчевую линию или ""Live"". Я бы конечно, сразу посоветовал вам Pinnacle, тут можете быть точно уверены что счет вам не порежут и вы почти всегда будете иметь один из самых высоких коэф., НО выбор маркетов у них очень скудный, и Live очень и очень неудобный. Да и события они дают зачастую только ТОПовые.  SBOBET - тоже не режут счета игроков, но и минусы у них такие же как у Pinnacle. Если хотите очтечественную БК, то будьте готовы к порезке счета. Это без вариантов. Такая уж политика у нашего ""брата"", но их можно понять, матчи и спортивные разделы у них гораздо ""рискованнее"" от того их и  гораздо больше. Самыми высокими коэф славится Марафонбет. Линия - приличная, Live нормальный, не такой огромный как у ФОНбет, но не маленький. Остальные не вижу смысла рассматривать, так как преимущество они не имеют ни в марже ни в количестве спортивных событий. Скажем если вы нацелились ставить на футбол Англии, Испании, Франции, Баскетбол НБА или хоккей НХЛ или бокс, то подойдут все вышеперечисленные канторы, таких игроков мало кто ""режет"".  Если же ваша специальность  более узкая, тогда посложнее, и не стоит заводить такую сумму. Если очень, очень вкратце то как то так))",Порекомендуйте БК для игры с банком примерно в миллион рублей и крупнее?
1307,"Добрый день! хотелось бы внести пожелание относительно конкурса ""Деньги и слава"". На сколько мне известно, если прогноз написан, мягко говоря, криво, то он не допускается на трибуну, но при этом участвует в конкурсе. Почему бы разработчикам не доработать страницу создания прогноза и в ближайшем релизе не вынести в бой? Например, при написании прогноза пользователем, можно было бы сразу указать в соответствующем чекбоксе ""не для трибуны"". Уверен, что многим нет разницы попадет их прогноз на трибуну или нет, а всего лишь хотят участвовать в конкурсе прогнозистов. Уверен, что для модераторов было бы быстрее обрабатывать некоторые прогнозы. Ну а для самих пользователей было бы проще если часть правил была бы снята при написании прогноза ""не для трибуны."" Иногда хочется сделать ставку, но нет времени описывать ""что да почему"". Спасибо.","Спасибо за идею.
",Почему бы не доработать конкурс?
1308,"Объясните,пожалуйста,какие условия должны быть выполнены,для того,чтобы прогноз попал на ""Трибуну""?","Добрый день. Данные условия Вы можете прочитать <a href=""https://bookmaker-ratings.ru/kak-popast-na-glavnuyu-tribuny-esli-ne-umeesh-pisat-po-russki/"" target=""_blank"">здесь</a>.","По каким причинам прогноз может быть не допущен на главную страницу ""Трибуны""?"
1309,"Добрый день, пишу Вам поскольку больше уже не знаю что делать, может вы подскажете как в суд обратится на букмекерскую контору 1хбет. Суть проблемы в следующем. Я зарегистрировался на сайте 1xbet.com (xbetsport.com) в середине февраля, пробовал играть, проиграл деньги, сделал еще депозит, снова не очень, проиграли половину, после чего еще раз пополнил счет и мне повезло, я смог выиграть и мой банк вырос до 9000 у.е. примерно, общий депозит 6000 у.е., после этого меня сразу же заблокировали, я пытался зайти на свою страницу, но у меня не получается, пробовал менять имя и пароль, но все без толку, обратился в службу поддержки у меня запросили фото 3-х страниц паспорта, я выслал им фото, у меня запросили фото с паспортом возле моего лица, я его тоже выслал, попросили выслать принт-скрилл моей страницы скрилл, чтобы были видны все депозиты, я выслал им эти фото, они попросили пройти видео конференцию, при себе иметь паспорт, я отвечал на их вопросы, немного смущался, нервничал, но вроде на все ответил, они сказли, что дадут ответ по моему счету в ближайшее время. После чего от них нету ответа уже больше недели, я сам им писал несколько писем, но они не отвечают, обратился по скайпу, по которому проходил видео конференцию, они мне снова задавали вопросы и сказали, что ответят в течении суток, никакого ответа до сих пор нету, на мои письма не отвечают. Я пишу в службу безопасности, ответа нет, пишу в службу поддержки, они мне пишут, что необходимо обращаться в службу безопасности, а все письма, что я пишу уходят в пустоту, уже 10 писем и ответа нет, служба поддержки, как попугай «обратитесь в службу безопасности». Я прошу Вас помочь в решении данного вопроса, я не нарушал ни каких правил, которые у них есть на сайте, ставки делаю самостоятельно, выполнил все требования, которые они мне предъявили, но денег мне моих так и не отдали и доступа на сайт не открыли. Прошу Вас помочь решить данный вопрос или каким образом обратиться в суд, чтобы забрать мои деньги. Переписка у меня со службой поддержки в вордовском формате и не прикрепляется, поскольку там очень много писем, 30 вроде. Мой номер счета: 6586041, Зовут Юрченко Андрей Васильевич, мой номер телефона +375293310972. Заранее спасибо. Это жалоба на букмекерскую контору, которая до сих пор, уже прошло больше 4 месяцев не отдает мне деньги и не хочет возвращать депозит, хотя у них есть пункт правил: п.п. 2.27 Если участник пари совершает мошеннические действия в отношении букмекерской компании (мультиаккаунт, использование ПО для автоматизации ставок, игра на арбитражных ситуациях, если игровой счет не используется для совершения ставок, злоупотребление программами лояльности и т.д.), то букмекерская компания оставляет за собой право пресечь такие мошеннические действия путём: - отмены ставок; - закрытия счета клиента с возвратом денежных средств; - обращения в правоохранительные органы по факту совершения мошеннических действий таким клиентом. Вступает в действие, начиная с 01.01.2011 г. п.п. 2.30 Зарегистрированный клиент не может пройти повторную регистрацию как новый клиент (под новым именем, с новым адресом электронной почты и т.д.). В случае подтверждения факта повторной регистрации (в том числе под новым именем), предоставления чужих, недействительных, поддельных документов (в том числе, измененных при помощи различных программ и графических редакторов), администрация оставляет за собой право признать недействительными ставки, сделанные с такого счета. В случае отказа от процедуры верификации администрация имеет право признать ставки недействительными. Так же администрация оставляет за собой право заблокировать такой счет (повторно зарегистрированный) на время разбирательства (до 2-х месяцев). По запросу клиента может быть сделано индивидуальное исключение администрацией БК. п.п. 2.32Компания оставляет за собой право закрыть игровой счёт и аннулировать все сделанные на этом счете ставки, если будет установлено, что: участник пари в момент постановки ставок обладал информацией о результате события; участник пари имел возможность оказать влияние на результат события, являясь непосредственным участником матча (спортсмены, судьи, тренеры и т.д.) или лицом, действующим по их поручению; ставки сделаны группой участников пари, действующих согласованно (синдикатом), с целью превысить установленные компанией ограничения; один участник пари имеет несколько игровых счетов (многократная регистрация); участник пари подозревается в использовании специального программного обеспечения или технических средств, позволяющих автоматизировать процесс постановки ставок; были использованы любые нечестные способы получения информации или обхода ограничений, установленных компанией. Остатки на счетах клиентов в вышеописанных ситуациях подлежат возврату после завершения разбирательства. При этом величина остатка определяется без учета нечестно полученного дохода. Компания оставляет за собой право не компенсировать потери игрока на комиссиях платежных систем при вводе и/или выводе средств на счет (со счета) букмекерской компании 1xBet. Все это правила этой букмекерской конторы, где никак не указано, что теряю те деньги, которые им зачислил, везде указано, что минимум они возвращают депозит. Разбирательства по моему счету продолжаются уже больше 4 месяцев, но до сих пор нет ответа, мне не возвращены денежные средства, которые я туда зачислял в размере 6000 долларов, а так же не были запрошены никакие дополнительные документы, чтобы я их не предоставил, справку с места жительства, фото с паспортом, фото паспорта, принт-срилл моей стриницы Scrill, а также видеоконференцию я прошел, сразу как они запросили, после чего они перестали мне отвечать. Что делать подскажите. Знаю информацию, что они работают под лицензией Букмекер ПАБ или что-то в этом духе. НАСБ, РАРИБ и СРО отказались мне помочь. Куда идти и что делать, чтобы забрать свои деньги?","<p>Добрый день, можем предложить Вам заполнить <a href=""https://bookmaker-ratings.ru/help-homepage/forma-zhalob/"">форму жалобы</a>. 1хBet сейчас активно работают по жалобам.</p>","Что делать,если букмекер не отдает деньги?"
1310,"СЧЁТ ИГРОВОЙ ОДИН, С КОМПА ЗАХОДИЛ ВСЕГДА Я ОДИН, ПУСТЬ ПОКАЖУТ ДОКАЗАТЕЛЬСТВА! ЧИСТОЙ ВОДЫ ЛОЖЬ!","Здравствуйте, Даниил!
Такие комментарии лучше размещать в своей жалобе. Это намного эффективнее. ","1xBet — 10 Сентября 2016 сумма спора 113тыс. мне предъявили что с одного устройства открыто более одного счета и это мультиаккаунтинг,"
1311,"с 17.09.2016 предоставляю документы для верификации на фонбет( паспорт на просвет, псапорт с мной) сегодня выслала фото на фоне пк с перепиской. Сколько еще может идти верификация.","Здравствуйте, Анна! Обычно этот срок не занимает больше двух недель, ещё рекомендую дополнительно уточнить все нюансы Вашей верификации у службы поддержки БК.",Срок верификации
1312,"Добрый день . Опять проблема с Фонбет. В личном кабинете не дают сделать запрос администрации. Нет возможности спросить, такое впечатление,что заблокировали. Как я уже говорила заблокировали возможность получения выигрыша. Сначала спросили паспорт, я выслала. Затем паспорт на просвет, то же выслала. Теперь просят паспорт на фоне переписки. Переписку могу вести с мобильного телефона. Сделала им паспорт на фоне переписки с мобильного. Пишут плохое расширение. Что делать.","<p>Добрый день, Анна.<br /> СБ букмекера при проведении верификации клиента действительно может запрашивать дополнительные изображения. Если фото с перепиской на телефоне не подходит, рекомендуем Вам открыть переписку на ПК и сделать запрашиваемое фото.</p>",Не могу добиться когда мне снимут блокировку.Заблокировали возможность задавать вопросы администрации через личный кабинет компьтера
1313,Нет возможности делать запросы в личном кабинете через пк.,"Здравствуйте, Анна. Сообщите об этой проблеме службе поддержки.",Нет возможности делать запросы
1314,"может быть тысяча игроков которые играют так,как играю я. Для меня не факт что мой знакомый играл так как я,я не верю этой сказке. И если даже он играл как я, я говорю,что они ошибаются пологая,что я это он.Я повторяюсь нельзя у человека забрать 40 тысяч предположениями.Я готов как они скажут связаться с ними что-бы доказать,что я это я....разве то что я хочу не верно,не обьективно. Разве сложно связаться со мной по телефону,по скайпу я не знаю любым способом. Я отвечу на все их вопросы.","<p>Нам представитель конторы сообщил, что вы признались, что за вас ставку делал другой. Это не так?</p>",Какой необоснованный ответ. Я не понимаю если моя игра похожа на игру другого это значит что это мультиаккаунтинг?
1315,"Доброго времени суток. Я каппер Антон Каневский, владелец данного проекта в соц.сети Вконтакте https://vk.com/basketball_anton . Я хотел бы пройти верификацию на РБ, но мне мешает одна небольшая проблема. Я нахожусь в чёрном списке капперов. Как можно решить эту проблему?","Здравствуйте, Антон.
""Небольшая проблема"" на самом деле довольно большая, уж простите за некий каламбур. :)
Отправьте запрос на support@bookmakersrating.ru и наберитесь терпения. Вам ответят по данному вопросу не раньше 3 октября, поскольку наш сотрудник, занимающийся капперами, на данный момент в отпуске.",Верификация
