texts	answers	labels
Такой вопрос я играю по бою и довольно таки не плохо могу выкатать играя в лайве. Скажите после какой суммы вы меня обрежете?? Ставлю не вилки не доги и т.д. По бою но выиграть могу много	Обратитесь в поддержку букмекера.	185
живу в украине,bet365 заблокировал аккаунт,пвх получила,документы заверила и отослала,отправила банковские реквизиты они не подходят,они не могут переслать средства через американский банк посредник,что делать подскажите	Обратитесь в поддержку букмекера.	185
Здравствуйте fonbet .ком И bkfon.ru это разные букмекеры? и могут ли возникнуть какие либо проблемы если зарегистрирован там и там	 Это разные конторы с юридической точки зрения. Одна (bkfon.ru) работает легально в рамках российского законодательства, в то время как другая считается офшорной БК. Ее используют клиенты, представляющие  остальные страны мира. Что касается регистрации, по идее проблем в плане мультиаккаунтинга возникнуть не должно.   	37
Прошу добавить контору bkfon.ru. Как я понял, fonbet ком и bkfon.ru - разные конторы. Последней на сайте у вас нет	Мы рекомендуем ставить у букмекеров с оценкой 4 и 5!	165
Зарегистрировался в конторе Leon. Ввел бонусный код. Зачисление бонусных денег не произошло. Что делать?	Обратитесь в поддержку букмекера.	185
добрый вечер.у нас в городе появилось несколько ппс с названием sport bet между словами стоит логотип в виде морской звезды.зарегистрованы эти ребята как ооо 23bet.ru что вы можете сказать об этой конторе,и встречалась ли она вам?спасибо	Мы рекомендуем ставить у букмекеров с оценкой 4 и 5!	165
Есть конторы с демо счётом? Желательно чтобы с телефона можно было сидеть. Винлайн и бетсити не предлагать.	Если эти конторы не устраивают, то скачать приложение удобной для вас БК и на листочки делать ставки, ну или в Excel и самому рассчитывать.	132
Играю на не лицензированной в России конторе и не плачу налог с выигрыша.	В принципе, офшорные БК не предоставляют данные в налоговую службу РФ о финансовых операциях своих российских игроков. Поэтому декларация и уплата налога является Вашим решением. Тем не менее советую  почитать вот этот  материал . Будет Вам пища для размышлений. 	65
Прогноз требует, чтоб был написан матч, но как быть, если это ставка «победитель турнира», одна команда выше другой, которая есть в букмекерской конторе.	 Как вариант, Вы можете выбрать в выпадающем меню поля «Вид спорта» пункт «Другие» и прописать дату и матч вручную.  	15
"Подскажите, как отключить уведомления, которые приходят на электронную почту при каждом комментарии к моему вопросу на вашем сайте? В настройках моего профиля, в разделе - ""Настройки уведомлений"" нет ни одной галочки, а они все равно приходят..."	  В письме с уведомлением внизу есть возможность отписаться от получения уведомлений. 	0
Я немогу зарегистрироваться на winline , может белорусам закрыли доступ?	Обратитесь в поддержку букмекера.	185
Примет ли Betcity нотариально заверенную доверенность мобильного номера?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Добрый день.Я только изучаю искусство беттинга,поэтому прошу прощения за,может быть,глупые вопросы)	Платежные системы Skrill и Neteller принимаются практически всеми БК. Со Skrill можно делать вывод на карточку VISA.	201
Может мой вопрос смешной, но я только что зарегестрировался на винлайне и просто не могу на сайте найти линию, только лайв вижу!	 Нажмите на вид спорта, вы правы, сначала отображаются события live, опуститесь ниже и увидите события прематч. 	22
Скажите, официальные ли действия 1xbet на территории РФ?	 1xBet работает по лицензии Кюрасао, сайт блокируется на территории РФ. Играть на этом сайте с территории РФ получится только с использованием методик обхода блокировки доступа.  На территории РФ абсолютно легально работает 1хСтавка, у них лицензия ФНС.	3
А скажите пожалуйста в каком конкурсе прогнозов можно поучаствовать в ближайшее время?? есть ли какие нибудь варианты заработать на этом сайте?	Обратитесь в поддержку букмекера.	185
Случайно указал не ту дату события, как это исправить?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Если верификаторы, которые ведут статистику по лайв-ставкам?	Такие верификаторы есть. Их можно легко найти в поисковике. 	263
Когда стартует анонсированный в новогоднем поздравлении конкурс на 1.5 млн рублей? 	Следите за новостями на нашем сайте.	258
"Я просто прочитал правила конкурса ""Деньги и Слава"" и не могу понять почему два моих экспресса не допущены к главной странице Трибуны и не завершены пишутся, хотя все матчи сыграли. Я нарушил какие то правила конкурса?"	В конкурсе учитываются все не удаленные прогнозы, вне зависимости от того, попали они на главную трибуны или нет. На главную трибуны модераторы стараются пропускать только лучший материал. Уже ведется разработка функционала, который позволит давать обратную связь ко всем прогнозам. Запуск ожидается в самое ближайшее время.   Расчет ставок в прогнозах не автоматизирован, необходимо некоторое время, чтобы наши сотрудники проверили и рассчитали ставки  в прогнозе. 	58
Скажите как правильно играет антиэкспресс?	Антиэкспресс - тип ставки, противоположный экспрессу по способу определения выигрыша, т.е. ставка выигрывает, если соответствующий экспресс проигрывает. Иначе, антиэкспресс – это ставка на два или более выбора из разных событий, где ставка выигрывает, если хотя бы один выбор не совпадет с результатом.(Напомним, в экспрессе наоборот, чтобы выиграть ставку, необходимо, чтобы все выборы совпали с результатами).Итоговый коэффициент антиэкспресса рассчитывается на основе вероятности, противоположной вероятности выигрыша по экспрессу, составленному из тех же выборов.	44
"Почему когда даешь прогноз в разделе ""Букмекер"" нету букмекерской конторы Бетсити?"	"При размещении прогноза в выпадающем меню поля ""Букмекер"" доступны только конторы с положительными оценками, а также БК, работающие через ЦУПИС. У Бетсити пока не сложилось ни с первым, ни со вторым.   "	223
Выкинуло с моего аккаунта и не заходит и вобще олимп не работает	Обратитесь в поддержку букмекера.	185
Хочу знать какие страны запрещены на Winline	Обратитесь в поддержку букмекера.	185
Выйграл сумму денег в ив играх на 1xbet,не могу понять как вывести выйгранную сумму денег,подскажите?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
День добрый! Отписался от писем, которые приходят с информацией о комментариях к постам. Как подписать обратно?	"Подписаться на уведомления можно непосредственно в статье. Под комментариями к статье немного левее есть кнопка ""Подписаться на обсуждение"" (выделена синим).  А Вы где отписались? "	210
А скажите пожалуйста в каком конкурсе прогнозов можно поучаствовать в ближайшее время?? есть ли какие нибудь варианты заработать на этом сайте?	Обратитесь в поддержку букмекера.	185
не выплачивают выигрыши хочу закрыть счет	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
"Добрый день! Открыл счет в валюте ""Рубль"". Оказалось что пополнение только через Qiwi, меня это не устраивает. Сделал запрос о изменении валюты на USD. Тех.поддержка настаивает на валюте счета EURO. Мне нужен счет в долларах США, что делать?"	Данный вопрос вы можете решить только с поддержкой самого букмекера.	107
Если в теннисном матче до победы игрока, на которого сделана ставка, остается один гейм на его подаче, а соперник сдается ( счет 7:6, 5:4) Букмекерская контора Бет365 Спасибо	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
на прежней версии сайта мой счет был заблокирован. могу ли я на русской версии открыть счет с теми же фио	Уточните в поддежке БК. Вообще, юридически это разные конторы, поэтому, думаю, сможете зарегистрироваться. Другое дело, что раз Вас заблокировали на международной версии Лиги ставок, значит что-то Вы делали не так. Это может отразиться на работе и с новым аккаунтом. 	274
Заблокировали счет. Попросили все нужные документы для идентификации. Отправил всё что запрашивали. Но четвертый день с заблокированным счетом и замороженным балансом на нем. Подскажите пожалуйста сколько происходит идентификация по времени?	Обычно документы проверяют в течение двух недель.	188
У вас в прогнозах нет такого результат как возврат? Я давал прогноз, на Ф-1, Счет 1-0. Записали как проигрыш.	Все зависит от того, по чьей линии вы даете прогноз. Расчет осуществляется в соответствии с правилами. Я так понимаю, что речь идет про ставку по WH, а там - 1 приравнивается нашим - 1.50.	84
Прошло почти 2 недели, как мой счет заблокирован в БК Марафон после моего обращения о неавторизированном использовании игрового счета. Хотелось бы конкретики относительно сроков рассмотрения деталей произошедшего соответствующим отделом.	Обратитесь в поддержку букмекера.	185
Бетсити не выплачивает выигрыш! Говорят: ставка не рассчитана, результат уточняется...уже два года уточняют На официальных сайтах есть данные с результатами...Как помочь конторе Бетсити уточнить счет и рассчитать ставку??	Заполните форму жалобы, пожалуйста.	139
Здравствуйте еще раз,заблокировали счет в бетсити, попросили выслать им документы,все выслали и со второго марта они не отвечают,как быть,куда написать?	Заполните форму жалобы, пожалуйста.	139
Как мне пополнить счет?	Обратитесь в поддержку букмекера.	185
"У моего друга заблокировали счет в БК ""Олимп"".Видимо , потому что , он очень много выиграл.Как вернуть деньги и разблокировать счет?"	Обратитесь в поддержку букмекера.	185
Хотел бы открыть счет, но оператор МТС(Россия) блокирует вход на официальный сайт. Как то возможно обойти данную преграду?	Ищите способы обхода блокировок в поисковике. 	150
если мой брат будет играть в той же конторе что и я, с одного компа, пополнять счет с одной карты на разные счета - это мультиаккаунтинг???	 Если пополнить два счета с одной карты, то это мультиакк. Если вы вынуждены играть с одного устройства, тогда скажите об этом конторе, и это не будет считаться мультиакком.  	11
Хотел вывести средства, запросили документы ... Сказали ожидать... Прошло около недели... Это нормально? И по каким прияинам мой счет проверяют?? Контора бетсити...	Обычно документы проверяют в течение двух недель.	188
Какими суммами лучше выводить, слышал лучше каждый день по 1,5к так меньше вероятность что на счет поставят ограничегия	Ориентируйтесь на правила вывода средств со счета, которые могут отличаться у разных БК. 	192
"обьясните пожалуйста. Бк дает кф на точный счет+исход ""другое"". Что это значит?"	Это любой другой счет, который не указан в росписи, обычно ставка выигрывает, когда одна из команд забивает как минимум 4 гола. Это что касается футбола.	286
А сколько раз нужно написать чтоб ставку рассчитали, что бы ее все таки рассчитали? Уже раз 10 есть.	Этот прогноз не участвует в конкурсе, плюс он не попал на Трибуну, значит на статистику он тоже не повлияет. Поэтому рассчитан он или нет не имеет никакого значения. Подобные прогнозы мы начали регулярно рассчитывать только в сентябре. 	292
антиэкспресс может состоять из 5 или 10 событий?	Количество событий не ограничено. Но есть лимит по коэффициенту. Итоговый коэффициент антиэкспресса рассчитывается на основе вероятности, противоположной вероятности выигрыша по экспрессу, составленному из тех же выборов. Минимальный коэффициент антиэкспресса не должен быть меньше 1.001	154
Недавно начал играть в ставках на спорт. И несколько дней играю в стратегии лесинки. Как сказать, ставлю на футбол с кф 1.10 на последних минутах. и поэтому часто выигрываю. играю на 1хбет. это не будет считатся нарушением?	Не думаю, что подобная стратегия может считаться грубым нарушением. Да и она весьма опасна, на последних минутах часто забивают.  	177
Когда даешь прогнозы вне конкурса, для учета статистики берется заявленный коэффициент или как в конкурсах, больше 10 приравнивается к 10?	Вне конкурса ограничений по коэффициентам нет.	77
Перехожу на сайт и его блокирует как сотовый так и интернет провайдер,как зайти?	Ищите способы обхода блокировок в поисковике. 	150
без всяких проблем ставил в интернете в БК 1хбет... А сейчас зайти не могу, сайт заблокирован. Не подскажите в чем дело?	Ищите способы обхода блокировок в поисковике. 	150
как добавить видеопрогноз на сайт?	Видеопрогнозы могут публиковать только члены экспертной команды. Для всех остальных предусмотрена возможность написания текстовых прогнозов.	75
Не могу зайти на сайт может есть какой-нибудь другой сайт фонбета	Ищите способы обхода блокировок в поисковике. 	150
Не могу, зайти на ваш сайт!!!	Ищите способы обхода блокировок в поисковике. 	150
не могу зайти на сайт pinnacle, есть средства на счету,как можно их вывести?	Ищите способы обхода блокировок в поисковике. 	150
Что за странная ссылка, при нажатии кнопки - перейти на сайт? Причем нерабочая. На сайт так и не попал.	С сайта рейтинга букмекеров можно перейти только на лицензированные и легальные в России БК - их всего 4 штуки...посмотрите на сайте Первого СРО...если вам нужно ну например на Fonbet, то устанавливаете на комп или телефон программу поддерживающую Proxy ищете зеркало нужной вам БК и вперед!!! Удачи!	247
не могу зайди на сайт 1xbet хочу снять деньги , захожу на сайт 1xставка ввожу свои данные пишут не правильные что делать ?	Это два разных сайта. Если вы просто не можете зайти на сайт, воспользуйтесь одним из средств обхода блокировки, описанных в сети.	284
Не могу зайти в личный кабинет, для пополнения счета, сервер не отвечает, почему?	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Не могу зайти к себе в личный кабинет !	Напишите, пожалуйста, в нашу службу поддержки (support@bookmaker-ratings.ru).	176
Сайт иногда блокируют.Каким образом обойти блокировку?	Ищите способы обхода блокировок в поисковике. 	150
Не могу войти на сайт почему?	Ищите способы обхода блокировок в поисковике. 	150
Наткнулся на контору Olimp-smart. Есть и в инстаграмме и в интернете есть сайт. предлагают хорошие условия. Можно ли доверять этой конторе?	На самом сайте минимум полезной информации о сути сделки и ее условиях. Никаких статистических данных для оцнки эффективности нет.  Также сотрудник этого ресурса уверял, что они имеют отношение к БК Олимп (или Olimp). Представители этих БК, которые работают с нами, это опровергли.  Я не рекомендую Вам доверять им деньги. 	172
Сайт на котором я играл заблокировали , что делать подскажите?	Ищите способы обхода блокировок в поисковике. 	150
По какой ссылке можно зайти на сайт ?	Обратитесь в поддержку букмекера.	185
Друзья, помогите разобраться. С телефона не могу зайти на этот сайт, блокирует (MTC-BLOK) что за хрень? до этого все работало.	Ищите способы обхода блокировок в поисковике. 	150
Известно ли почему не работает сайт Виллиам Хилл? И когда на него можно будет зайти?	Ищите способы обхода блокировок в поисковике. 	150
Здравствуйте не могу зайти на сайт?	Обратитесь в поддержку букмекера.	185
не могу зайти на сайт	Ищите способы обхода блокировок в поисковике. 	150
Как зайти на сайт БК Титанбет?	Ищите способы обхода блокировок в поисковике. 	150
весь день не могу зайти на сайт,раньше заходил без пробле	Ищите способы обхода блокировок в поисковике. 	150
Немогу попасть на сайт	Ищите способы обхода блокировок в поисковике. 	150
Я не могу зайти на сайт появляется изображение что доступ ограничен	Ищите способы обхода блокировок в поисковике. 	150
Не могу зайти на сайт LEON	Ищите способы обхода блокировок в поисковике. 	150
Я не могу зайти на сайт ресурс заблокирован визде	Ищите способы обхода блокировок в поисковике. 	150
Подскажите пожайлуста есть ли смысл размещать свои прогнозы на стене трибуны? За большое количество успешных прогнозов есть ли какая-то система поощрения? Cпасибо!	 Трибуна была создана для того, чтобы пользователи могли делиться своими мыслями. Никаких поощрений за количество прогнозов не предусмотрено. Если же Вы участвуете в наших конкурсах — другой разговор. Призы зачастую очень солидные.  	35
Если я хочу написать несколько прогнозов на разные матчи одного чемпионата, то могу ли я давать их в одной публикации отдельными ординарами или же надо для каждого прогноза делать отдельную публикацию?	Вы можете разместить не более трёх прогнозов в одном материале. 	92
Опубликовывал несколько прогнозов,но на главную страницу трибуны попал только 1, статистика ведется только по тем прогнозам которые опубликовывались на главной страницы трибуны?	Да, прогнозы, которые не попали на главную страницу Трибуны, не рассчитываются и не идут в статистику пользователя. Для того чтобы прогнозы попадали на главную, нужно следовать  этим рекомендациям . 	103
Есть ли возможность ознакомиться с архивом (с начала 2016 года) прогнозов определенного прогнозиста?	"Вкладка ""Статистика"" в профиле прогнозиста. "	76
А скажите пожалуйста в каком конкурсе прогнозов можно поучаствовать в ближайшее время?? есть ли какие нибудь варианты заработать на этом сайте?	 все актуальные конкурсы указаны в разделе  «Конкурсы» . Можете ознакомиться. 	38
Я участвую в игре КорЛеоне и не могу выбрать другого букмекера для прогнозов - это так задумано?	Конкурс проводит БК Леон, поэтому только эта контора и доступна для выбора при участии в конкурсе...	157
Оставил отзыв в Обзоре букмекерской конторы William Hill, но там его почему то нет он проверяется или что?	Отзывы модерируются перед публикацией.	194
Является ли игра, на сайтах букмекерских контор, которые попали в реестр запрещенных сайтов (William Hill, Betfair и т.д.) уголовно-наказуемой? а так же получение постоянной прибыли с них	 К ответу могут быть призваны букмекеры, а не их клиенты. 	13
Мужчины и леди, доброго времени суток. Столкнулся я с такой проблемой: не нахожу ссылку на William Hill. Воооот. Быть может, кто в курсе, окажет мне помощь?? Безмерно благодарен)))	Ищите способы обхода блокировок в поисковике. 	150
Как попасть на сайт БК William hill? Пробую, но он заблокирован. Есть ли другой способ?	Ищите способы обхода блокировок в поисковике. 	150
Как зайти бк William Hill, никак не могу найти альтернативную ссылку.	Ищите способы обхода блокировок в поисковике. 	150
Разрешено ли регистрироваться и играть в нескольких букмекерских конторах?	Разумеется. Можно играть во всех существующих БК, никаких запретов на это нет. Но мы рекомендуем играть только в тех конторах, которые оценены на «5» и «4» в нашем рейтинге: https://bookmaker-ratings.ru/rejting-bukmekerov/vse-bukmekery/	242
У конторы есть русская версия сайта, но она отсутствует в вашем рейтинге контор на русском языке. Почему?	В рейтинг «БК на русском» попадают только те букмекерские конторы, которые предлагают не только русский сайт, но и услуги русскоязычной службы поддержки клиентов.	67
Как быть, если для общения со службой поддержки БК требуется знание английского языка, а я им не владею?	Советуем изначально выбрать БК с русской версией и поддержкой на русском языке. Вы найдете список таких контор здесь: https://bookmaker-ratings.ru/rejting-bukmekerov/bukmekery-na-russkom/	259
Как узнать, позволяет ли букмекер завести рублевый счет?	Узнать валюты, в которых та или иная БК позволяет открыть счет, вы можете в обзоре этого букмекера в нашем рейтинге: https://bookmaker-ratings.ru/rejting-bukmekerov/vse-bukmekery/.В ряде БК можно внести рублевый депозит на валютный счет, при этом рубли будут конвертированы букмекером в валюту вашего аккаунта и внесены на счет.	272
Почему БК не принимает клиентов из тех или иных стран?	В большинстве случаев это зависит от законодательства данной страны или от того, заинтересована ли букмекерская компания в организации своей деятельности в этой стране. Так, в США ставки на спорт в интернете запрещены, потому европейские букмекеры не работают с клиентами из Америки. А «серые» рынки стран бывшего СССР попросту не интересны некоторым БК.	55
Нужно ли при регистрации в зарубежных БК переводить паспортные данные?	При регистрации в зарубежных букмекерских конторах поля можно заполнить, использовав либо перевод, либо транслитерацию.	224
Забыл пароль к своему счету. Могу ли я пройти регистрацию заново, станет ли это поводом для конторы заблокировать мой счет?	Букмекерские конторы запрещают повторную регистрацию. В подавляющем большинстве контор повторно зарегистрированные счет (-а) лимитируют или заблокируют, переведя при этом баланс на первый счет. В любом случае, мы не рекомендуем повторную регистрацию – если вы забыли логин или пароль от своего аккаунта в БК, свяжитесь по этому поводу со службой поддержки конторы.	52
Во всех ли букмекерских конторах нужно пройти проверку личности, чтобы получить выигрыш?	Все западные букмекеры практикуют эту процедуру.	85
Какие документы контора затребует для проверки возраста и личных данных?	Скан паспорта (с отметкой о регистрации) и на выбор скан водительского удостоверения, загранпаспорта, свидетельства о рождении, военного билета. В правилах ряда БК есть также пункт, согласно которому в некоторых случаях у вас могут потребовать подтвердить адрес.	254
БК потребовала у меня отправить сканированные копии документа, удостоверяющего личность (нотариально заверенную копию), для вывода средств. Безопасно ли это?	Да, это обычная практика. Каждая контора из числа рекомендуемых «Рейтингом Букмекеров» (с оценкой «4» и «5») прилагает максимальные усилия для сохранения личных данных клиентов в безопасности. Список рекомендуемых контор вы найдете в рейтинге: https://bookmaker-ratings.ru/rejting-bukmekerov/vse-bukmekery/.	104
Через какой промежуток времени поступают деньги, отправленные на вывод?	Выплаты по платежным системам приходят в течение дня. Если это банковский перевод, то перевод займет 3-5 банковских дней. Во многих зарубежных конторах потребуется пройти процедуру проверки возраста и личности, прежде чем вы сможете вывести средства со счета.	97
Выведенные из БК деньги продолжительное время не поступают на кредитную карту. Что делать?	В подобных ситуациях вина редко лежит на букмекерах, обычно – на банках-посредниках. Узнайте у БК номер транзакции, чтобы отследить платеж в вашем банке. Больше – в разделе «Платежные системы» этого FAQ.	64
Какие конторы предлагают бонус? А бонус для России?	Чтобы узнать, какие БК и какой бонус предлагают, зайдите в наш рейтинг букмекерских контор и выберите «Упорядочить по бонусу». Детальная информация о бонусе указана в обзорах букмекеров.	282
Я выполнил все условия промоакции, но не получил автоматически начисляемый бонус. Что делать?	Если речь об одной из рекомендуемых нами контор, оцененных на «4» и «5» в рейтинге букмекерских компаний, и вы уже безрезультатно обращались в ее службу поддержки, заполните форму жалобы на «Рейтинге Букмекеров»: https://bookmaker-ratings.ru/rejting-bukmekerov/forma-zaloby/.	129
Нашел в правилах промоакции букмекерской конторы следующее: мы оставляем за собой право отменять данное предложение либо изменять любые из его правил и условий в любое время без уведомлений или объяснения причин. Компания также оставляет за собой право не допускать некоторых владельцев счетов к участию в данной акции. Справедливо ли это правило?	На деле, это распространенное правило, и действует оно в большинстве букмекерских контор. То, как и к кому применяется это правило, зависит от конкретного случая.	170
За что мой счет в БК может быть заблокирован?	Поводов для блокировки несколько и они могут незначительно разниться от конторы к конторе. Так, среди возможных причин блокировки счета регистрация более одного счета на свое имя или на чужие документы, мошенничество с кредитными картами, ставка на договорной матч. В некоторых конторах игра без элемента риска («вилки» и другие тактики профессиональной игры) может послужить поводом для блокировки счета, но это редкость, обычная мера в таких случаях – порезка максимумов.	208
Что будет, если постоянно (каждый день) выигрывать в БК? Могут ли заблокировать аккаунт?	Если вы выигрываете стабильно, не нарушая правила конторы, не ставя на договорные матчи, букмекеры из «5» и «4» не заблокируют ваш счет (в некоторых БК игра без элемента риска – «вилки» и другие тактики профессиональной игры – может послужить поводом для блокировки счета, но это редкость). Чтобы ознакомиться с рейтингом букмекерских контор, перейдите по этой ссылке: https://bookmaker-ratings.ru/rejting-bukmekerov/vse-bukmekery/.	124
Букмекерская компания заблокировала мой счет, предварительно дав вывести баланс. Почему?	Вы попали в категорию «нежелательных клиентов», потому ваш счет был закрыт. Все игроки, в ставках которых отсутствует элемент риска, классифицируются как нежелательные, среди них «вилочники», «коридористы», «послегольщики», организаторы договорных матчей и так далее.	94
Как относятся БК к игре «догоном»?	В конторах с оценкой «5» и «4» в нашем рейтинге, которые мы рекомендуем, за «догон» не режут, поскольку эта стратегия предполагает риск – вы можете так и не «догнать».	59
Как БК относятся к «вилкам» и другим тактикам игры без риска?	За «вилки» букмекерские конторы снизят максимумы или заблокируют счет, за исключением букмекеров, которые принимают профессиональных игроков. Их список вы найдете здесь: https://bookmaker-ratings.ru/rejting-bukmekerov/bumekerskaya-kontora-dlya-professionalov/.	136
Вернут ли ставку, если счет в лайве был неправильным, а я проиграл, сделав ставку?	По правилам букмекерских контор, они не несут ответственности за предоставленную в лайве информацию, так как эти данные (счет матча, т.д.) получают от партнеров. Потому ставку не вернут.	207
Какую максимальную ставку я могу сделать на тот или иной исход (событие)?	Это зависит как от популярности события, так и от возможных ограничений (порезка максимумов), наложенных букмекерской конторой на ваш аккаунт.	285
